pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 37124 c,HD 37124,0,1,3,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,,1.61,,,0,,,,,,,,,182.427,,,0,0.574,,,0,Msini,0.15,,,0,,,,,,,,,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,,,,,,,0.78,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,06-09-16,2006-07,21-08-14
HD 37124 c,HD 37124,0,1,3,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,1942,400,-400,0,2.95,,,0,,,,,,,,,320.99,,,0,1.01,,,0,Msini,0.4,0.2,-0.2,0,,,,,,,,,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,G4 V,,,,,,,,,0.91,,,0,-0.42,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,06-09-16,2003-01,21-08-14
HD 37124 c,HD 37124,1,1,3,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,885.5,5.1,-5.1,0,1.71,0.0065,-0.0065,0,,,,,,,,,207.22516,16.52716,-16.52716,0,0.652,0.052,-0.052,0,Msini,0.125,0.055,-0.055,0,,,,,,,,,0,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,G4 V,,,,,,,,,0.85,,,0,-0.44,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,06-09-16,2011-04,18-08-16
HD 37124 d,HD 37124,0,1,3,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,<a refstr=VOGT_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...632..638V/abstract target=ref> Vogt et al. 2005 </a>,2295,,,0,3.19,,,0,,,,,,,,,209.76,,,0,0.66,,,0,Msini,0.2,,,0,,,,,,,,,0,<a refstr=VOGT_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...632..638V/abstract target=ref> Vogt et al. 2005 </a>,G4 IV-V,,,,,,,,,0.78,0.1,-0.1,0,-0.42,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,06-09-16,2005-10,17-12-14
HD 37124 d,HD 37124,1,1,3,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,1862,38,-38,0,2.807,0.038,-0.038,0,,,,,,,,,221.20968,18.75197,-18.75197,0,0.696,0.059,-0.059,0,Msini,0.16,0.14,-0.14,0,,,,,,,,,0,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,G4 V,,,,,,,,,0.85,,,0,-0.44,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,06-09-16,2011-04,18-08-16
HD 37124 d,HD 37124,0,1,3,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,1768,15,-14,0,2.671,0.022,-0.022,0,,,,,,,,,209.44892,10.80617,-11.44182,0,0.659,0.034,-0.036,0,Msini,0.16,0.12,-0.11,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5698.64,48.74,-48.74,0,0.95,0.02,-0.02,0,0.81,0.01,-0.01,0,-0.326,0.06,-0.06,0,[Fe/H],4.39,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,20-09-21,2021-05,20-09-21
HD 37124 d,HD 37124,0,1,3,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,,3.142,,,0,,,,,,,,,220.883,,,0,0.695,,,0,Msini,0.297,,,0,,,,,,,,,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,,,,,,,0.78,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,7.47238,0.000351,-0.000351,06-09-16,2006-07,21-08-14
HD 37605 b,HD 37605,0,1,2,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=COCHRAN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...611L.133C/abstract target=ref> Cochran et al. 2004 </a>,54.23,0.23,-0.23,0,0.26,0.01,-0.01,0,,,,,,,,,902.6372,82.6358,-82.6358,0,2.84,0.26,-0.26,0,Msini,0.737,0.01,-0.01,0,,,,,,,,,0,<a refstr=COCHRAN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...611L.133C/abstract target=ref> Cochran et al. 2004 </a>,,5475,50,-50,0,,,,,,,,,0.39,0.07,-0.07,0,[Fe/H],4.55,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h40m01.78s,85.0074276,+06d03m34.24s,6.0595116,46.7864,0.1143,-0.1137,8.67,0.03,-0.03,6.815,0.021,-0.021,8.46192,0.000575,-0.000575,25-09-18,2004-08,30-04-15
HD 37605 b,HD 37605,0,1,2,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=IGLESIAS_MARZOA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015PASP..127..567I/abstract target=ref>Iglesias-Marzoa et al. 2015</a>,54.21,0.17,-0.17,0,,,,,,,,,,,,,,,,,,,,,,0.7342,0.0078,-0.0078,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5329,108.12,-97.58,0,0.98,0.05,-0.04,0,0.92,0.14,-0.1,0,0.25,0.1,-0.1,0,[M/H],4.42,0.09,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h40m01.78s,85.0074276,+06d03m34.24s,6.0595116,46.7864,0.1143,-0.1137,8.67,0.03,-0.03,6.815,0.021,-0.021,8.46192,0.000575,-0.000575,25-09-18,2015-06,03-12-15
HD 37605 b,HD 37605,1,1,2,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,55.01292,0.00062,-0.00062,0,0.277,0.015,-0.015,0,,,,,,,,,854.9627,95.349,-95.349,0,2.69,0.3,-0.3,0,Msini,0.6745,0.0019,-0.0019,0,,,,,,,,,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,K0,5329,,,0,0.91,0.05,-0.05,0,0.94,0.15,-0.15,0,0.27,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h40m01.78s,85.0074276,+06d03m34.24s,6.0595116,46.7864,0.1143,-0.1137,8.67,0.03,-0.03,6.815,0.021,-0.021,8.46192,0.000575,-0.000575,25-09-18,2018-11,27-09-18
